suburb,avg_purchase_price,median_purchase_price,sale_listings,avg_monthly_rent,median_monthly_rent,rental_listings,gross_yield_pct_est
Sundowner,1218700.0,787500.0,10.0,22750.0,22750.0,2.0,22.4
Sunninghill,1229625.0,924500.0,8.0,9345.714285714286,7640.0,21.0,9.12
Sydenham,,,,15000.0,15000.0,3.0,
The Hill,1132499.5,1132499.5,2.0,5033.333333333333,4600.0,3.0,5.33
Tshepisong,1233150.0,1233150.0,1.0,,,,
Turffontein,894500.0,790000.0,4.0,6250.0,6250.0,2.0,8.38
Victory Park,3799000.0,3799000.0,1.0,18000.0,18000.0,1.0,5.69
Vorna Valley,1574615.3846153845,780000.0,13.0,8910.833333333334,8250.0,6.0,6.79
Waterfall Country Village,,,,63333.333333333336,67000.0,3.0,
Waterfall Estate,5934947.263157895,2800000.0,19.0,29514.814814814814,22000.0,27.0,5.97
Waverley,,,,13900.0,13900.0,2.0,
Wendywood,3700000.0,3700000.0,1.0,24500.0,24500.0,2.0,7.95
Westbury,600000.0,600000.0,1.0,6000.0,6000.0,1.0,12.0
Westdene,1500000.0,1500000.0,1.0,9000.90909090909,7400.0,11.0,7.2
Whiteridge,,,,12500.0,12500.0,1.0,
Willaway,2290000.0,2290000.0,1.0,27000.0,27000.0,1.0,14.15
Winchester Hills,1188333.3333333333,750000.0,3.0,8750.0,8750.0,2.0,8.84
Windsor East,434015.625,385000.0,8.0,,,,
Windsor West,620000.0,620000.0,2.0,6300.0,6300.0,1.0,12.19
Woodmead,6000000.0,6000000.0,1.0,25550.0,29450.0,8.0,5.11
Yeoville,450000.0,450000.0,1.0,5250.0,5250.0,2.0,14.0
Zakariyya Park,770000.0,770000.0,1.0,,,,
