source_site,listing_id,listing_url,title,purchase_price,suburb,city,province,property_type,bedrooms,bathrooms,parking_spaces,garage,floor_area_sqm,land_area_sqm,levies,rates_taxes,description,listing_date,scraped_timestamp,pp_transaction_slug,pp_province_slug,pp_metro_slug,pp_city_slug,pp_suburb_slug,purchase_price_Rands
privateproperty,T5144969,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg-metro/johannesburg-central/newtown/2113-ntemi-piliso-st-gwigwi-mrwebi-street/T5144969,2 Bedroom Apartment in Newtown,6500000.0,Newtown,Johannesburg Central,Gauteng,Apartment,2.0,1.0,,,,,1938.8333333333333,954.7727272727273,"2 Bedroom Apartment in Newtown, 2113 ntemi piliso st & gwigwi mrwebi street, The apartment accommodates visitors with a beautiful guest bathroom and features a private balcony f",9 Jul 2025,2026-03-27T16:16:14.650002+00:00,for-sale,gauteng,johannesburg-metro,johannesburg-central,newtown,650000.0
privateproperty,T5291500,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg-metro/johannesburg-central/kensington/12-roberts-avenue-mansions/83-roberts-avenue/T5291500,2 Bedroom Apartment in Kensington,6500000.0,Kensington,Johannesburg Central,Gauteng,Apartment,2.0,1.0,,,78.0,1.0,2500.0,230.0,"2 Bedroom Apartment in Kensington, 12 roberts avenue mansions, 83 roberts avenue, Step into this quaint complex where the local TV series, Egoli was filmed in the 1990s. This two bed",4 Nov 2025,2026-03-27T16:16:11.229735+00:00,for-sale,gauteng,johannesburg-metro,johannesburg-central,kensington,650000.0
privateproperty,T4192402,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg-metro/sandton/sandown/232-the-leonardo/75-maude-street-sandton-street/T4192402,2 Bedroom Apartment in Sandown,148000000.0,Sandown,Sandton,Gauteng,Apartment,2.0,3.0,2.0,2.0,,,13000.0,4350.0,"2 Bedroom Apartment in Sandown, 232 the leonardo, 75 maude street sandton street, Located in the heart of Africas Richest Square Mile, the Leonardo Stands Tall in the Sandton skyline",30 May 2023,2026-03-27T16:16:08.292816+00:00,for-sale,gauteng,johannesburg-metro,sandton,sandown,14800000.0
privateproperty,T5240663,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg-metro/sandton/sandton-central/00018-the-leonardo/75-maude-street/T5240663,2 Bedroom Apartment in Sandton Central,112500000.0,Sandton Central,Sandton,Gauteng,Apartment,2.0,3.0,2.0,2.0,,,14500.0,4560.0,"2 Bedroom Apartment in Sandton Central, 18 the leonardo, 75 maude street, Own the Ultimate Address in Africa The Leonardo, Sandton Step into the height of luxury at The Leo",22 Sep 2025,2026-03-27T16:16:04.983434+00:00,for-sale,gauteng,johannesburg-metro,sandton,sandton-central,11250000.0
privateproperty,T4192291,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg-metro/sandton/sandown/231-the-leonardo/75-maude-street/T4192291,2 Bedroom Apartment in Sandown,110500000.0,Sandown,Sandton,Gauteng,Apartment,2.0,3.0,2.0,2.0,,,13000.0,4500.0,"2 Bedroom Apartment in Sandown, 231 the leonardo, 75 maude street, Located in the heart of Africas Richest Square Mile, the Leonardo Stands Tall in the Sandton skyline",30 May 2023,2026-03-27T16:16:01.112318+00:00,for-sale,gauteng,johannesburg-metro,sandton,sandown,11050000.0
privateproperty,T5240078,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg-metro/sandton/sandton-central/0007-the-leonardo/75-the-leonardo-street/T5240078,1 Bedroom Apartment in Sandton Central,85000000.0,Sandton Central,Sandton,Gauteng,Apartment,1.0,2.0,2.0,2.0,,,11320.0,2354.0,"1 Bedroom Apartment in Sandton Central, 7 the leonardo, 75 the leonardo street, Own the Ultimate Address in Africa The Leonardo, Sandton Step into the height of luxury at The Leo",22 Sep 2025,2026-03-27T16:15:57.445443+00:00,for-sale,gauteng,johannesburg-metro,sandton,sandton-central,8500000.0
privateproperty,T5173019,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg-metro/sandton/sandton-central/402b-sandton-gate/7-minerva-avenue/T5173019,3 Bedroom Penthouse in Sandton Central,79500000.0,Sandton Central,Sandton,Gauteng,House,3.0,3.0,1.0,,255.0,,7963.285714285715,2603.125,"3 Bedroom Penthouse in Sandton Central, 402b sandton gate, 7 minerva avenue, Stunning 3-Bedroom Rooftop Penthouse with Breathtaking Views Experience elevated living at The Terr",31 Jul 2025,2026-03-27T16:15:53.285920+00:00,for-sale,gauteng,johannesburg-metro,sandton,sandton-central,7950000.0
privateproperty,T5240062,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg-metro/sandton/sandton-central/0003-the-leonardo/75-maude-street/T5240062,1 Bedroom Apartment in Sandton Central,75000000.0,Sandton Central,Sandton,Gauteng,Apartment,1.0,2.0,2.0,2.0,,,9856.0,1860.0,"1 Bedroom Apartment in Sandton Central, 3 the leonardo, 75 maude street, Own the Ultimate Address in Africa The Leonardo, Sandton Step into the height of luxury at The Leo",22 Sep 2025,2026-03-27T16:15:50.054801+00:00,for-sale,gauteng,johannesburg-metro,sandton,sandton-central,7500000.0
privateproperty,T5240065,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg-metro/sandton/sandton-central/0006-the-leonardo/75-maude-street/T5240065,1 Bedroom Apartment in Sandton Central,55000000.0,Sandton Central,Sandton,Gauteng,Apartment,1.0,2.0,2.0,2.0,,,8950.0,1850.0,"1 Bedroom Apartment in Sandton Central, 6 the leonardo, 75 maude street, Own the Ultimate Address in Africa The Leonardo, Sandton Step into the height of luxury at The Leo",22 Sep 2025,2026-03-27T16:15:47.132178+00:00,for-sale,gauteng,johannesburg-metro,sandton,sandton-central,5500000.0
privateproperty,T5240601,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg-metro/sandton/sandton-central/00016-the-leonardo/75-maude-street/T5240601,1 Bedroom Apartment in Sandton Central,55000000.0,Sandton Central,Sandton,Gauteng,Apartment,1.0,2.0,2.0,2.0,,,8950.0,4850.0,"1 Bedroom Apartment in Sandton Central, 16 the leonardo, 75 maude street, Own the Ultimate Address in Africa The Leonardo, Sandton Step into the height of luxury at The Leo",22 Sep 2025,2026-03-27T16:15:44.159260+00:00,for-sale,gauteng,johannesburg-metro,sandton,sandton-central,5500000.0
